timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1743661200000,83272.2,83383.03,83236.93,83292.88,73.57016,1743661499999,6128813.5243589,10629,35.83668,2984914.6430523,0
1743661500000,83292.87,83295.77,83221.11,83295.77,25.76512,1743661799999,2145158.6193615,5914,11.49823,957347.5589993,0
1743661800000,83295.77,83315.2,83176.17,83210.01,56.79355,1743662099999,4726647.017006,9085,27.55427,2293313.5424732,0
1743662100000,83210.02,83238.38,83156.0,83209.85,61.30957,1743662399999,5100670.0483826,7737,24.2495,2017476.0768566,0
1743662400000,83209.86,83262.82,83190.01,83247.98,34.28879,1743662699999,2853554.3520145,8310,20.09002,1671896.5802953,0
1743662700000,83247.98,83358.5,83221.02,83358.5,40.44614,1743662999999,3368098.3300091,12030,12.76151,1062636.6929245,0
1743663000000,83358.5,83370.62,83218.08,83235.4,33.64722,1743663299999,2802839.4986986,8047,11.93624,994065.7701974,0
1743663300000,83235.4,83235.4,83008.74,83058.65,99.09764,1743663599999,8231358.1083835,13605,23.3811,1941764.8272422,0
1743663600000,83058.65,83249.68,83036.47,83222.4,56.81635,1743663899999,4722580.200198,11432,33.43467,2779253.7520839,0
1743663900000,83222.41,83293.99,83161.45,83240.76,87.93302,1743664199999,7317234.6563179,10933,62.30474,5183935.5506568,0
1743664200000,83240.76,83240.76,83028.53,83095.42,60.91054,1743664499999,5061634.2743839,11661,18.502,1537395.2396204,0
1743664500000,83095.41,83188.0,83013.33,83025.01,46.44081,1743664799999,3858843.4889725,11068,23.5816,1959440.5657327,0
1743664800000,83025.01,83148.75,83000.0,83109.58,122.43191,1743665099999,10166555.0959717,12994,33.33921,2769226.6196923,0
1743665100000,83109.58,83410.0,83109.58,83402.01,83.695,1743665399999,6972545.9421121,14786,67.88814,5655854.5403753,0
1743665400000,83402.01,83422.15,83322.07,83342.01,70.107,1743665699999,5845013.0902047,12401,42.11786,3511738.7672186,0
1743665700000,83342.0,83371.41,83258.3,83264.75,68.70502,1743665999999,5725447.5371174,11229,43.36463,3613812.6644921,0
1743666000000,83264.75,83335.38,83181.82,83335.38,46.79968,1743666299999,3896383.411449,12402,33.852,2818380.8844564,0
1743666300000,83335.38,83395.78,83314.0,83342.88,43.25238,1743666599999,3604876.5576865,10902,27.96956,2331017.7333612,0
1743666600000,83342.89,83384.0,83258.76,83383.99,32.87939,1743666899999,2739364.4470807,10889,20.20132,1683287.9932175,0
1743666900000,83383.99,83498.1,83383.99,83456.75,54.55297,1743667199999,4553098.6456412,9927,30.77769,2568853.6651126,0
1743667200000,83456.76,83665.17,83456.74,83617.97,55.41283,1743667499999,4630279.5835987,14285,42.49146,3550381.613872,0
1743667500000,83617.98,83666.66,83508.96,83619.83,100.73053,1743667799999,8421073.4929144,16163,52.00031,4346859.8306,0
1743667800000,83619.83,83649.04,83557.09,83642.01,39.11725,1743668099999,3270265.7936254,10610,14.7492,1233071.8650187,0
1743668100000,83642.0,83719.18,83614.88,83697.63,64.96336,1743668399999,5435905.2281523,14910,34.75974,2907988.9081026,0
1743668400000,83697.62,83697.62,83580.57,83641.51,64.15672,1743668699999,5364717.9757853,9849,15.85037,1325436.3734497,0
1743668700000,83641.5,83688.68,83563.86,83654.05,27.59239,1743668999999,2307497.0167766,8922,15.5116,1297249.7289591,0
1743669000000,83654.04,83712.63,83586.81,83586.81,86.62653,1743669299999,7248665.185526,12933,35.62013,2980316.4691316,0
1743669300000,83586.81,83727.48,83530.32,83719.29,179.53208,1743669599999,15014967.5004317,12502,130.69874,10931642.1661196,0
1743669600000,83719.29,83788.23,83665.6,83687.99,75.97626,1743669899999,6359441.4796821,8496,51.53904,4314027.7283963,0
1743669900000,83688.0,83703.0,83590.65,83620.85,43.76326,1743670199999,3660030.3520167,9236,19.09904,1597387.1581536,0
1743670200000,83620.85,83620.85,83543.28,83566.51,39.91837,1743670499999,3336519.8339081,10163,18.11925,1514419.2213305,0
1743670500000,83566.5,83718.0,83566.5,83679.99,44.14719,1743670799999,3692904.0782866,7305,30.2039,2526438.2826973,0
